price,postal_code,address,mls,bed,full_bath,half_bath,property_area,property_type
649900,T3G 6G6,14 Norford Common NW,A1046940,2.0,2.0,1.0,1560.0,townhouse
648000,T3L 2V2,5 TUSCANY SPRINGS TERR NW,A1047091,3.0,2.0,1.0,1795.0,house
359500,T3K 5R3,240 COVEPARK CLOSE NE,A1046748,2.0,2.0,,981.0,house
1250000,T3G 4N8,255 ARBOUR VISTA RD NW,A1047017,3.0,2.0,1.0,1913.0,house
334900,T3H 6B5,716 - 8505 BROADCAST AVE SW,A1047046,1.0,1.0,,483.0,condo
400000,T2E 7Y1,213 - 46 9 ST NE,A1046980,2.0,2.0,,891.0,condo
350000,T2E 0S6,601 REGAL PK NE,A1044826,2.0,1.0,,1248.0,house
509000,T2K 0C9,944 39 AVE NW,A1046870,3.0,1.0,1.0,1145.0,house
649900,T2X 0K3,20 SILVERADO SKIES MANOR SW,A1043396,5.0,3.0,,2360.0,house
649900,T3B 2T1,8303 BOWGLEN RD NW,A1047022,4.0,1.0,,859.0,house
349500,T2E 3S7,"202, 707 4 Street NE",A1046769,2.0,2.0,,938.0,condo
659000,T2R 1B5,302 12 Avenue SW,A1046729,2.0,2.0,1.0,1160.0,condo
714800,T3H 4Y3,171 DISCOVERY RIDGE BLVD SW,A1046396,4.0,3.0,1.0,2242.0,house
784900,T3E 4T5,3711 SARCEE RD SW,A1047035,4.0,3.0,,1095.0,house
249900,T3G 5K6,318 - 345 ROCKY VISTA PK NW,A1046800,2.0,2.0,,833.0,condo
329900,T3J 1W9,80 FALTON RISE NE,A1046604,3.0,2.0,,1018.0,house
1880000,T2N 1A4,2520 7 AVE NW,A1046858,4.0,4.0,1.0,4345.0,house
649900,T3K 2L7,53 HARVEST HILLS MANOR NE,A1045936,3.0,2.0,1.0,1353.0,house
210000,T3E 3R9,301 - 3514 44 ST SW,A1046746,2.0,1.0,,856.0,condo
539000,T2L 1N4,31 BROWN CRES NW,A1046995,3.0,2.0,1.0,1475.0,house
495000,T2H 1W3,720 AVONLEA PL SE,A1047073,5.0,2.0,,943.0,house
675000,T3H 0V4,157 COUGAR RIDGE CLOSE SW,A1046573,4.0,3.0,1.0,2094.0,house
387500,T3G 5G6,145 Rocky Vista Terrace NW,A1047128,4.0,2.0,1.0,1495.0,townhouse
720000,T3H 2K6,84 STRATHDALE CLOSE SW,A1046971,5.0,3.0,1.0,2347.0,house
720000,,"6215 LOUISE RD SW, Calgary , AB, T3E 5V3",N/A,4.0,2.0,,1350.0,house
225000,T3H 4C4,"102, 2188 85 Street SW",A1043290,2.0,1.0,,634.0,townhouse
549900,T2X 1H1,47 MIDGLEN RD SE,A1046920,4.0,2.0,2.0,1623.0,house
799900,T3B 0W9,4814 21 AVE NW,A1046490,4.0,3.0,1.0,1893.0,house
249900,T3G 5T2,2204 - 928 ARBOUR LAKE RD NW,A1046820,2.0,2.0,,1061.0,condo
1169900,T3B 4B4,8511 58 AVE NW,A1046916,4.0,3.0,,1665.0,house
279900,T3H 0K1,2209 - 211 ASPEN STONE BLVD SW,A1046610,2.0,2.0,1.0,1207.0,condo
549900,T3B 0N9,4503 17 AVE NW,A1046565,3.0,2.0,1.0,1698.0,house
999900,T3H 0W3,44 TIMBERLINE PL SW,A1046478,3.0,2.0,1.0,2595.0,house
340000,T3H 6B5,305 - 8505 BROADCAST AVE SW,A1046779,2.0,2.0,,586.0,condo
339900,T3C 2Z1,7207 - 14 HEMLOCK CRES SW,A1046723,2.0,2.0,,1340.0,condo
428888,T1Y 3S1,75 TEMPLETON PL NE,A1046504,4.0,2.0,1.0,1140.0,house
229900,T2Y 3X8,312 BRIDLEWOOD LANE SW,A1046866,2.0,1.0,1.0,1101.0,townhouse
295000,T2G 5P9,203 - 138 18 AVE SE,A1044373,2.0,2.0,,1119.0,condo
949900,T2N 2C8,416 16A ST NW,A1046457,4.0,3.0,1.0,1856.0,house
200000,T3A 3Y5,2713 Edenwold Heights NW,A1044318,2.0,2.0,,871.0,condo
